draw_date,draw_date_text,year_be,first_prize,first_prize_digits,last3_numbers,last2_number,near_first_prize,special_first_prize_raw,prize2_numbers,prize3_numbers,prize4_numbers,prize5_numbers,has_detail_section,source_url,source_file
1995-08-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 สิงหาคม 2538,2538,265333,6,235|342|455|618,51,,,,,,,False,https://myhora.com/lottery/result-16-08-2538.aspx,1995-08-16-BE2538.html
1995-08-01,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 1 สิงหาคม 2538,2538,464819,6,070|274|293|669,59,,,,,,,False,https://myhora.com/lottery/result-01-08-2538.aspx,1995-08-01-BE2538.html
1995-07-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 กรกฎาคม 2538,2538,248122,6,085|303|571|758,96,,,,,,,False,https://myhora.com/lottery/result-16-07-2538.aspx,1995-07-16-BE2538.html
1995-07-01,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 1 กรกฎาคม 2538,2538,939901,6,428|667|879|940,19,,,,,,,False,https://myhora.com/lottery/result-01-07-2538.aspx,1995-07-01-BE2538.html
1995-06-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 มิถุนายน 2538,2538,046698,6,393|507|678|785,82,,,,,,,False,https://myhora.com/lottery/result-16-06-2538.aspx,1995-06-16-BE2538.html
1995-06-01,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 1 มิถุนายน 2538,2538,105615,6,168|374|688|735,17,,,,,,,False,https://myhora.com/lottery/result-01-06-2538.aspx,1995-06-01-BE2538.html
1995-05-17,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 17 พฤษภาคม 2538,2538,220381,6,460|488|511|597,55,,,,,,,False,https://myhora.com/lottery/result-17-05-2538.aspx,1995-05-17-BE2538.html
1995-05-02,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 2 พฤษภาคม 2538,2538,504692,6,268|273|304|886,88,,,,,,,False,https://myhora.com/lottery/result-02-05-2538.aspx,1995-05-02-BE2538.html
1995-04-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 เมษายน 2538,2538,053581,6,376|560|681|968,99,,,,,,,False,https://myhora.com/lottery/result-16-04-2538.aspx,1995-04-16-BE2538.html
1995-04-01,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 1 เมษายน 2538,2538,427039,6,254|674|926|978,06,,,,,,,False,https://myhora.com/lottery/result-01-04-2538.aspx,1995-04-01-BE2538.html
1995-03-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 มีนาคม 2538,2538,646847,6,044|091|220|225,67,,,,,,,False,https://myhora.com/lottery/result-16-03-2538.aspx,1995-03-16-BE2538.html
1995-03-01,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 1 มีนาคม 2538,2538,411454,6,019|022|034|152,71,,,,,,,False,https://myhora.com/lottery/result-01-03-2538.aspx,1995-03-01-BE2538.html
1995-02-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 กุมภาพันธ์ 2538,2538,869070,6,126|462|597|828,95,,,,,,,False,https://myhora.com/lottery/result-16-02-2538.aspx,1995-02-16-BE2538.html
1995-02-01,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 1 กุมภาพันธ์ 2538,2538,198162,6,087|195|574|805,48,,,,,,,False,https://myhora.com/lottery/result-01-02-2538.aspx,1995-02-01-BE2538.html
1995-01-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 มกราคม 2538,2538,922388,6,002|186|253|667,40,,,,,,,False,https://myhora.com/lottery/result-16-01-2538.aspx,1995-01-16-BE2538.html
1994-12-30,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 30 ธันวาคม 2537,2537,6284069,7,339|713|744|798,90,,,,,,,False,https://myhora.com/lottery/result-30-12-2537.aspx,1994-12-30-BE2537.html
1994-12-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 ธันวาคม 2537,2537,5100040,7,129|544|654|766,50,,,,,,,False,https://myhora.com/lottery/result-16-12-2537.aspx,1994-12-16-BE2537.html
1994-12-01,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 1 ธันวาคม 2537,2537,6832681,7,043|342|448|923,02,,,,,,,False,https://myhora.com/lottery/result-01-12-2537.aspx,1994-12-01-BE2537.html
1994-11-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 พฤศจิกายน 2537,2537,6095849,7,225|504|816|902,82,,,,,,,False,https://myhora.com/lottery/result-16-11-2537.aspx,1994-11-16-BE2537.html
1994-11-01,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 1 พฤศจิกายน 2537,2537,1676779,7,096|110|365|840,76,,,,,,,False,https://myhora.com/lottery/result-01-11-2537.aspx,1994-11-01-BE2537.html
1994-10-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 ตุลาคม 2537,2537,7583048,7,024|165|294|428,79,,,,,,,False,https://myhora.com/lottery/result-16-10-2537.aspx,1994-10-16-BE2537.html
1994-10-01,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 1 ตุลาคม 2537,2537,7128442,7,229|243|251|623,23,,,,,,,False,https://myhora.com/lottery/result-01-10-2537.aspx,1994-10-01-BE2537.html
1994-09-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 กันยายน 2537,2537,4781931,7,046|164|255|886,88,,,,,,,False,https://myhora.com/lottery/result-16-09-2537.aspx,1994-09-16-BE2537.html
1994-09-01,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 1 กันยายน 2537,2537,6220893,7,701|718|891|949,67,,,,,,,False,https://myhora.com/lottery/result-01-09-2537.aspx,1994-09-01-BE2537.html
1994-08-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 สิงหาคม 2537,2537,6504760,7,303|677|724|897,28,,,,,,,False,https://myhora.com/lottery/result-16-08-2537.aspx,1994-08-16-BE2537.html
1994-08-01,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 1 สิงหาคม 2537,2537,3114057,7,026|149|396|758,85,,,,,,,False,https://myhora.com/lottery/result-01-08-2537.aspx,1994-08-01-BE2537.html
1994-07-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 กรกฎาคม 2537,2537,5962891,7,424|622|628|686,74,,,,,,,False,https://myhora.com/lottery/result-16-07-2537.aspx,1994-07-16-BE2537.html
1994-07-01,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 1 กรกฎาคม 2537,2537,6568267,7,372|445|868|902,39,,,,,,,False,https://myhora.com/lottery/result-01-07-2537.aspx,1994-07-01-BE2537.html
1994-06-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 มิถุนายน 2537,2537,1947355,7,302|524|583|669,53,,,,,,,False,https://myhora.com/lottery/result-16-06-2537.aspx,1994-06-16-BE2537.html
1994-06-01,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 1 มิถุนายน 2537,2537,3560804,7,164|474|564|989,17,,,,,,,False,https://myhora.com/lottery/result-01-06-2537.aspx,1994-06-01-BE2537.html
1994-05-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 พฤษภาคม 2537,2537,2071764,7,093|535|544|746,29,,,,,,,False,https://myhora.com/lottery/result-16-05-2537.aspx,1994-05-16-BE2537.html
1994-05-02,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 2 พฤษภาคม 2537,2537,3072877,7,170|317|521|535,69,,,,,,,False,https://myhora.com/lottery/result-02-05-2537.aspx,1994-05-02-BE2537.html
1994-04-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 เมษายน 2537,2537,7893913,7,151|594|785|982,21,,,,,,,False,https://myhora.com/lottery/result-16-04-2537.aspx,1994-04-16-BE2537.html
